channel_id,channel_url,channel_name,category,has_notifications
UC_7aK9PpYTqt08ERh1MewlQ,https://www.youtube.com/channel/UC_7aK9PpYTqt08ERh1MewlQ,3D Printing Nerd,3D Printing,0
UCsdc_0ZTXikARFEn2dRDJhg,https://www.youtube.com/channel/UCsdc_0ZTXikARFEn2dRDJhg,CHEP,3D Printing,0
UCbgBDBrwsikmtoLqtpc59Bw,https://www.youtube.com/channel/UCbgBDBrwsikmtoLqtpc59Bw,Teaching Tech,3D Printing,0
UCb8Rde3uRL1ohROUVg46h1A,https://www.youtube.com/channel/UCb8Rde3uRL1ohROUVg46h1A,Thomas Sanladerer,3D Printing,0
UCitH5iJ0s-YwbuAg3MIo4Aw,https://www.youtube.com/channel/UCitH5iJ0s-YwbuAg3MIo4Aw,AQUAHOLIC,Boating,0
UCWZhbfXDCg7_PvlwvierP1A,https://www.youtube.com/channel/UCWZhbfXDCg7_PvlwvierP1A,Born Again Boating,Boating,0
UCBsXuIe0nBO3Bi2JmtVk1ZQ,https://www.youtube.com/channel/UCBsXuIe0nBO3Bi2JmtVk1ZQ,Dangar Marine,Boating,1
UCE4vct4tqxSuG4JH6vMVZSA,https://www.youtube.com/channel/UCE4vct4tqxSuG4JH6vMVZSA,Sam Holmes Sailing,Boating,0
UCjtSqSQWHHap4c2ryFhPl0g,https://www.youtube.com/channel/UCjtSqSQWHHap4c2ryFhPl0g,TheCrewChef,Boating,0
UC9_p50tH3WmMslWRWKnM7dQ,https://www.youtube.com/channel/UC9_p50tH3WmMslWRWKnM7dQ,Adam Ragusea,Cooking,0
UCxAS_aK7sS2x_bqnlJHDSHw,https://www.youtube.com/channel/UCxAS_aK7sS2x_bqnlJHDSHw,America's Test Kitchen,Cooking,0
UCJHA_jMfCvEnv-3kRjTCQXw,https://www.youtube.com/channel/UCJHA_jMfCvEnv-3kRjTCQXw,Babish Culinary Universe,Cooking,0
UCLGNeElk4sNgzUrZr0c9krA,https://www.youtube.com/channel/UCLGNeElk4sNgzUrZr0c9krA,Chef Jean-Pierre,Cooking,0
UCqqJQ_cXSat0KIAVfIfKkVA,https://www.youtube.com/channel/UCqqJQ_cXSat0KIAVfIfKkVA,J. Kenji López-Alt,Cooking,0
UChBEbMKI1eCcejTtmI32UEw,https://www.youtube.com/channel/UChBEbMKI1eCcejTtmI32UEw,Joshua Weissman,Cooking,0
UC8gFadPgK2r1ndqLI04Xvvw,https://www.youtube.com/channel/UC8gFadPgK2r1ndqLI04Xvvw,Maangchi,Cooking,0
UCEFW1E8QzP-hKxjO2Rj68wg,https://www.youtube.com/channel/UCEFW1E8QzP-hKxjO2Rj68wg,Nat's What I Reckon,Cooking,0
UCRYQQwKeqhzrhdmfk4l3E7g,https://www.youtube.com/channel/UCRYQQwKeqhzrhdmfk4l3E7g,OrsaraRecipes,Cooking,0
UChKlSK39lLg8eZHIX0iVzLA,https://www.youtube.com/channel/UChKlSK39lLg8eZHIX0iVzLA,DIY Creators,DIY,0
UCUQo7nzH1sXVpzL92VesANw,https://www.youtube.com/channel/UCUQo7nzH1sXVpzL92VesANw,DIY Perks,DIY,0
UC3CrzXzBFVqEopj5T1jiRtA,https://www.youtube.com/channel/UC3CrzXzBFVqEopj5T1jiRtA,Peter Brown,DIY,0
UC2rzsm1Qi6N1X-wuOg_p0Ng,https://www.youtube.com/channel/UC2rzsm1Qi6N1X-wuOg_p0Ng,Project Farm,DIY,0
UCEOXxzW2vU0P-0THehuIIeg,https://www.youtube.com/channel/UCEOXxzW2vU0P-0THehuIIeg,Captain Disillusion,Education,1
UCuVLG9pThvBABcYCm7pkNkA,https://www.youtube.com/channel/UCuVLG9pThvBABcYCm7pkNkA,Climate Town,Education,0
UCY1kMZp36IQSyNx_9h4mpCg,https://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,Education,1
UCqdUXv9yQiIhspWPYgp8_XA,https://www.youtube.com/channel/UCqdUXv9yQiIhspWPYgp8_XA,Road Guy Rob,Education,0
UCxzC4EngIsMrPmbm6Nxvb-A,https://www.youtube.com/channel/UCxzC4EngIsMrPmbm6Nxvb-A,Scott Manley,Education,0
UC6107grRI4m0o2-emgoDnAA,https://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay,Education,1
UCEIwxahdLz7bap-VDs9h35A,https://www.youtube.com/channel/UCEIwxahdLz7bap-VDs9h35A,Steve Mould,Education,0
UCBa659QWEk1AI4Tg--mrJ2A,https://www.youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,Education,1
UCHnyfMqiRRG1u-2MsSQLbXA,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Education,1
UC9RM-iSvTu1uPJb8X5yp3EQ,https://www.youtube.com/channel/UC9RM-iSvTu1uPJb8X5yp3EQ,Wendover Productions,Education,0
UCivA7_KLKWo43tFcCkFvydw,https://www.youtube.com/channel/UCivA7_KLKWo43tFcCkFvydw,Applied Science,Engineering,0
UCS0N5baNlQWJCUrhCEo8WlA,https://www.youtube.com/channel/UCS0N5baNlQWJCUrhCEo8WlA,Ben Eater,Engineering,0
UCp_5PO66faM4dBFbFFBdPSQ,https://www.youtube.com/channel/UCp_5PO66faM4dBFbFFBdPSQ,bitluni,Engineering,0
UCv7UOhZ2XuPwm9SN5oJsCjA,https://www.youtube.com/channel/UCv7UOhZ2XuPwm9SN5oJsCjA,Intermit.Tech,Engineering,0
UC_SLthyNX_ivd-dmsFgmJVg,https://www.youtube.com/channel/UC_SLthyNX_ivd-dmsFgmJVg,Jeremy Fielding,Engineering,0
UCMOqf8ab-42UUQIdVoKwjlQ,https://www.youtube.com/channel/UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering,Engineering,1
UCq2rNse2XX4Rjzmldv9GqrQ,https://www.youtube.com/channel/UCq2rNse2XX4Rjzmldv9GqrQ,rctestflight,Engineering,0
UC6n8I1UDTKP1IWjQMg6_TwA,https://www.youtube.com/channel/UC6n8I1UDTKP1IWjQMg6_TwA,The B1M,Engineering,0
UCfMJ2MchTSW2kWaT0kK94Yw,https://www.youtube.com/channel/UCfMJ2MchTSW2kWaT0kK94Yw,William Osman,Engineering,0
UCO8DQrSp5yEP937qNqTooOw,https://www.youtube.com/channel/UCO8DQrSp5yEP937qNqTooOw,Strange Parts,Engineering,0
UCVDgG7dkTbiHTFT-VWp8Ufw,https://www.youtube.com/channel/UCVDgG7dkTbiHTFT-VWp8Ufw,Cooking and Fishing,Fishing,0
UCiW-KeNXqSpMiOgyf4W-anQ,https://www.youtube.com/channel/UCiW-KeNXqSpMiOgyf4W-anQ,Fish Guy Photos,Fishing,0
UCv1hhgBvM7_DcBzpckQoqMw,https://www.youtube.com/channel/UCv1hhgBvM7_DcBzpckQoqMw,Honey Hole Fishing,Fishing,1
UC7dW0u-2HauRLHd8y1zUMUQ,https://www.youtube.com/channel/UC7dW0u-2HauRLHd8y1zUMUQ,John Skinner Fishing,Fishing,0
UCA9U3lyRLUyy0ni4XBw-Qdg,https://www.youtube.com/channel/UCA9U3lyRLUyy0ni4XBw-Qdg,Burls Art,Maker,0
UCKd49wwdEdIoM-7Fumhwmog,https://www.youtube.com/channel/UCKd49wwdEdIoM-7Fumhwmog,Quint BUILDs,Maker,1
UC3KEoMzNz8eYnwBC34RaKCQ,https://www.youtube.com/channel/UC3KEoMzNz8eYnwBC34RaKCQ,Simone Giertz,Maker,1
UCj1VqrHhDte54oLgPG4xpuQ,https://www.youtube.com/channel/UCj1VqrHhDte54oLgPG4xpuQ,Stuff Made Here,Maker,1
UC67gfx2Fg7K2NSHqoENVgwA,https://www.youtube.com/channel/UC67gfx2Fg7K2NSHqoENVgwA,Tom Stanton,Engineering,0
UChWv6Pn_zP0rI6lgGt3MyfA,https://www.youtube.com/channel/UChWv6Pn_zP0rI6lgGt3MyfA,AvE,Misc,0
UCxYljUelq6VBk4m8dM-7NVA,https://www.youtube.com/channel/UCxYljUelq6VBk4m8dM-7NVA,Brad Owen,Misc,0
UCamLstJyCa-t5gfZegxsFMw,https://www.youtube.com/channel/UCamLstJyCa-t5gfZegxsFMw,Colin and Samir,Misc,0
UCpa-Zb0ZcQjTCPP1Dx_1M8Q,https://www.youtube.com/channel/UCpa-Zb0ZcQjTCPP1Dx_1M8Q,LegalEagle,Misc,0
UCm9K6rby98W8JigLoZOh6FQ,https://www.youtube.com/channel/UCm9K6rby98W8JigLoZOh6FQ,LockPickingLawyer,Misc,0
UCwdVOry0oNF9WIe_3uCfz9Q,https://www.youtube.com/channel/UCwdVOry0oNF9WIe_3uCfz9Q,Matt's Off Road Recovery,Misc,0
UCfeppgcy70ERp4gQrsYijsg,https://www.youtube.com/channel/UCfeppgcy70ERp4gQrsYijsg,Middle 8,Misc,0
UCX6OQ3DkcsbYNE6H8uQQuVA,https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Misc,0
UCJkMlOu7faDgqh4PfzbpLdg,https://www.youtube.com/channel/UCJkMlOu7faDgqh4PfzbpLdg,Nerdwriter1,Misc,0
UCAL3JXZSzSm8AlZyD3nQdBA,https://www.youtube.com/channel/UCAL3JXZSzSm8AlZyD3nQdBA,Primitive Technology,Misc,0
UClHTtNkaedA5x0aWedOnauw,https://www.youtube.com/channel/UClHTtNkaedA5x0aWedOnauw,Ryan Depaulo: Degenerate Gambler,Misc,0
UC2N2HqEyaVE5Tt1rFqe3_Og,https://www.youtube.com/channel/UC2N2HqEyaVE5Tt1rFqe3_Og,straybob,Misc,1
UCcXhhVwCT6_WqjkEniejRJQ,https://www.youtube.com/channel/UCcXhhVwCT6_WqjkEniejRJQ,Wintergatan,Misc,0
UCvK4bOhULCpmLabd2pDMtnA,https://www.youtube.com/channel/UCvK4bOhULCpmLabd2pDMtnA,Yes Theory,Misc,0
UCVS6ejD9NLZvjsvhcbiDzjw,https://www.youtube.com/channel/UCVS6ejD9NLZvjsvhcbiDzjw,Crosstalk Solutions,Smart Home,0
UCXEa_Gzl2zjhb7K6xflyrWQ,https://www.youtube.com/channel/UCXEa_Gzl2zjhb7K6xflyrWQ,mostlychris,Smart Home,0
UC2gyzKcHbYfqoXA5xbyGXtQ,https://www.youtube.com/channel/UC2gyzKcHbYfqoXA5xbyGXtQ,The Hook Up,Smart Home,0
UC9-y-6csu5WGm29I7JiwpnA,https://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,Computerphile,Technology,0
UCbiGcwDWZjz05njNPrJU7jA,https://www.youtube.com/channel/UCbiGcwDWZjz05njNPrJU7jA,ExplainingComputers,Technology,0
UCbsfyGlrjrKQC0gbzK0-EiA,https://www.youtube.com/channel/UCbsfyGlrjrKQC0gbzK0-EiA,Jared Owen,Technology,0
UCR-DXc1voovS8nhAvccRZhg,https://www.youtube.com/channel/UCR-DXc1voovS8nhAvccRZhg,Jeff Geerling,Technology,0
UCBNG0osIBAprVcZZ3ic84vw,https://www.youtube.com/channel/UCBNG0osIBAprVcZZ3ic84vw,Jim Browning,Technology,0
UCBJycsmduvYEL83R_U4JriQ,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,Technology,1
UCoxcjq-8xIDTYp3uz647V5A,https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,Numberphile,Technology,0
UCy0tKL1T7wFoYcxCe0xjN6Q,https://www.youtube.com/channel/UCy0tKL1T7wFoYcxCe0xjN6Q,Technology Connections,Technology,0
UC8uT9cgJorJPWu7ITLGo9Ww,https://www.youtube.com/channel/UC8uT9cgJorJPWu7ITLGo9Ww,The 8-Bit Guy,Technology,0
UCpJm53TsHOItPdfH87i7_7A,https://www.youtube.com/channel/UCpJm53TsHOItPdfH87i7_7A,TheGeekPub,Technology,0
UCv0qlvvLtEuCxAoEitAuoFg,https://www.youtube.com/channel/UCv0qlvvLtEuCxAoEitAuoFg,NOAA/NWS National Hurricane Center,Weather,0
UCrFIk7g_riIm2G2Vi90pxDA,https://www.youtube.com/channel/UCrFIk7g_riIm2G2Vi90pxDA,Tropical Tidbits,Weather,1
UC6I0KzAD7uFTL1qzxyunkvA,https://www.youtube.com/channel/UC6I0KzAD7uFTL1qzxyunkvA,Blacktail Studio,Woodworking,0
UCUHTuONqU81QTkWNnmuAoHw,https://www.youtube.com/channel/UCUHTuONqU81QTkWNnmuAoHw,Fixing Furniture,Woodworking,0
UC3_VCOJMaivgcGqPCTePLBA,https://www.youtube.com/channel/UC3_VCOJMaivgcGqPCTePLBA,frank howarth,Woodworking,1
UCSS9ZXx02adDT2vTYCdVC_g,https://www.youtube.com/channel/UCSS9ZXx02adDT2vTYCdVC_g,Home Improvement Woodworking,Woodworking,0
UCn7lavsPdVGV0qmEEBT6NyA,https://www.youtube.com/channel/UCn7lavsPdVGV0qmEEBT6NyA,Marius Hornberger,Woodworking,1
UC3_AWXcf2K3l9ILVuQe-XwQ,https://www.youtube.com/channel/UC3_AWXcf2K3l9ILVuQe-XwQ,Matthias random stuff,Woodworking,1
UCckETVOT59aYw80B36aP9vw,https://www.youtube.com/channel/UCckETVOT59aYw80B36aP9vw,Matthias Wandel,Woodworking,1
UCPO4D4-UeeFQceK8XrgwXug,https://www.youtube.com/channel/UCPO4D4-UeeFQceK8XrgwXug,Rainfall Projects,Woodworking,0
